,category,name,price,rating,review_count
0,Cuban,Versailles Restaurant,$$,4.0,3308
1,Hot Dogs,Sweet Dogs,$,4.5,605
2,Burgers,Kush,$$,4.5,1722
3,Latin American,CVI.CHE 105,$$,4.0,1924
4,Italian,CRUST,$$,4.5,564
5,American (New),WHISK Gourmet Food & Catering,$$,4.5,973
6,Tapas Bars,SUGARCANE Raw Bar Grill,$$$,4.0,1699
7,Indian,Bombay Darbar,$$,4.5,636
8,Italian,Fratelli Milano,$$,4.5,927
9,Specialty Food,Perricone's Marketplace & Cafe,$$,4.0,1187
10,Gastropubs,Lokal,$$,4.0,948
11,American (New),Michael's Genuine Food & Drink,$$$,4.0,1498
12,Seafood,Truluck's,$$$,4.5,777
13,American (Traditional),Blue Collar,$$,4.0,1138
14,Mexican,Tacos & Tattoos,$$,4.0,1043
15,Venezuelan,Cardon Y El Tirano,$$,4.5,326
16,Cuban,Tinta y Café,$,4.5,518
17,Japanese,Zuma,$$$$,4.0,1035
18,Italian,Osteria Vecchio Piemonte,$$,4.5,405
19,Breakfast & Brunch,Greenstreet Cafe,$$,4.0,1090
20,Coffee & Tea,specialTEA Lounge,$,4.5,586
21,Asian Fusion,KYU,$$$,4.5,658
22,Music Venues,Lagniappe,$$,4.5,658
23,Cocktail Bars,Beaker & Gray,$$,4.5,788
24,American (New),Doce Provisions,$$,4.5,400
25,Desserts,Fireman Derek's Bake Shop & Cafe,$,4.5,516
26,Venezuelan,Doggi's Arepa Bar,$$,4.0,876
27,Tapas/Small Plates,Lung Yai Thai Tapas,$$,4.0,784
28,Mediterranean,Mandolin Aegean Bistro,$$,4.0,943
29,Juice Bars & Smoothies,Roots Juicebar,$$,4.5,394
30,Italian,Fratellino,$$,5.0,541
31,Seafood,The Spillover,$$,4.5,489
32,Italian,Red Carpet Italian,$$,5.0,206
33,Steakhouses,Toro Toro,$$$,4.0,746
34,Seafood,La Camaronera Seafood Joint & Fish Market,$$,4.0,637
35,Latin American,Jaguar Ceviche Spoon Bar,$$,4.0,727
36,Juice Bars & Smoothies,Vegan & Juice,$,5.0,228
37,American (New),Mignonette,$$$,4.5,479
38,Argentine,Bunbury,$$,4.5,367
39,Pizza,Pizza Johny's,$,4.5,334
40,Fruits & Veggies,El Palacio De Los Jugos,$,4.0,429
41,Seafood,SuViche - Wynwood,$$,4.0,640
42,Italian,Vero,$$,4.5,300
43,Catalan,NIU Kitchen,$$,4.5,307
44,American (New),Peacock Garden Cafe,$$,4.0,648
45,Tacos,Mi Rinconcito Mexicano,$,4.0,567
46,Chicken Shop,Mojo Donuts & Fried Chicken,$,4.5,321
47,Steakhouses,The Capital Grille,$$$,4.0,503
48,Seafood,The River Seafood & Oyster Bar,$$$,4.0,609
49,Japanese,NAOE,$$$$,4.5,283
50,Coffee & Tea,specialTEA Lounge,$,4.5,586
51,Asian Fusion,KYU,$$$,4.5,658
52,Music Venues,Lagniappe,$$,4.5,658
53,American (New),Doce Provisions,$$,4.5,400
54,Cocktail Bars,Beaker & Gray,$$,4.5,788
55,Desserts,Fireman Derek's Bake Shop & Cafe,$,4.5,516
56,Venezuelan,Doggi's Arepa Bar,$$,4.0,876
57,Tapas/Small Plates,Lung Yai Thai Tapas,$$,4.0,784
58,Mediterranean,Mandolin Aegean Bistro,$$,4.0,943
59,Juice Bars & Smoothies,Roots Juicebar,$$,4.5,394
60,Seafood,The Spillover,$$,4.5,489
61,Italian,Fratellino,$$,5.0,541
62,Italian,Red Carpet Italian,$$,5.0,206
63,Steakhouses,Toro Toro,$$$,4.0,746
64,Seafood,La Camaronera Seafood Joint & Fish Market,$$,4.0,637
65,Latin American,Jaguar Ceviche Spoon Bar,$$,4.0,727
66,Juice Bars & Smoothies,Vegan & Juice,$,5.0,228
67,Pizza,Pizza Johny's,$,4.5,334
68,American (New),Mignonette,$$$,4.5,479
69,Argentine,Bunbury,$$,4.5,367
70,Fruits & Veggies,El Palacio De Los Jugos,$,4.0,429
71,Italian,Vero,$$,4.5,300
72,Seafood,SuViche - Wynwood,$$,4.0,640
73,Catalan,NIU Kitchen,$$,4.5,307
74,American (New),Peacock Garden Cafe,$$,4.0,648
75,Tacos,Mi Rinconcito Mexicano,$,4.0,567
76,Chicken Shop,Mojo Donuts & Fried Chicken,$,4.5,321
77,Steakhouses,The Capital Grille,$$$,4.0,503
78,Seafood,The River Seafood & Oyster Bar,$$$,4.0,609
79,Japanese,NAOE,$$$$,4.5,283
80,Italian,The Big Cheese Of Miami,$$,4.0,573
81,Lounges,Prohibition Restaurant and Speakeasy,$$,4.0,625
82,Mediterranean,Crazy About You,$$,4.0,950
83,Mexican,Taqueria Viva México,$,4.5,376
84,Music Venues,Ball & Chain,$$,4.0,660
85,American (New),Wynwood Kitchen & Bar,$$,4.0,899
86,Pizza,Andiamo,$$,4.0,732
87,American (New),Morgan's Restaurant,$$,3.5,1144
88,Vegan,della bowls,$$,4.5,247
89,Mexican,Coyo Taco,$$,3.5,1067
90,Mexican,Jacalito Taqueria Mexicana,$,4.0,451
91,Kosher,Zak The Baker,$$,4.0,460
92,Pizza,Mister 01- Brickell,$$,4.5,292
93,Dim Sum,Kon Chau Restaurant,$$,4.0,484
94,Latin American,Jimmy'z Kitchen Wynwood,$$,4.0,566
95,Fast Food,Diced,$,4.5,377
96,Cafes,Cream Parlor,$$,5.0,252
97,Peruvian,Pollos Y Jarras,$$,4.0,468
98,Cuban,El Mago De Las Fritas,$,4.5,242
99,Seafood,Devon Seafood & Steak,$$$,4.0,504
100,Fruits & Veggies,El Palacio De Los Jugos,$,4.0,429
101,Italian,Vero,$$,4.5,300
102,Seafood,SuViche - Wynwood,$$,4.0,640
103,Catalan,NIU Kitchen,$$,4.5,307
104,American (New),Peacock Garden Cafe,$$,4.0,648
105,Tacos,Mi Rinconcito Mexicano,$,4.0,567
106,Chicken Shop,Mojo Donuts & Fried Chicken,$,4.5,321
107,Steakhouses,The Capital Grille,$$$,4.0,503
108,Seafood,The River Seafood & Oyster Bar,$$$,4.0,609
109,Japanese,NAOE,$$$$,4.5,283
110,Italian,The Big Cheese Of Miami,$$,4.0,573
111,Lounges,Prohibition Restaurant and Speakeasy,$$,4.0,625
112,Mediterranean,Crazy About You,$$,4.0,950
113,Mexican,Taqueria Viva México,$,4.5,376
114,Music Venues,Ball & Chain,$$,4.0,660
115,American (New),Wynwood Kitchen & Bar,$$,4.0,899
116,Pizza,Andiamo,$$,4.0,732
117,American (New),Morgan's Restaurant,$$,3.5,1144
118,Vegan,della bowls,$$,4.5,247
119,Mexican,Coyo Taco,$$,3.5,1067
120,Mexican,Jacalito Taqueria Mexicana,$,4.0,451
121,Kosher,Zak The Baker,$$,4.0,460
122,Pizza,Mister 01- Brickell,$$,4.5,292
123,Dim Sum,Kon Chau Restaurant,$$,4.0,484
124,Latin American,Jimmy'z Kitchen Wynwood,$$,4.0,566
125,Fast Food,Diced,$,4.5,377
126,Cafes,Cream Parlor,$$,5.0,252
127,Peruvian,Pollos Y Jarras,$$,4.0,468
128,Cuban,El Mago De Las Fritas,$,4.5,242
129,Seafood,Devon Seafood & Steak,$$$,4.0,504
130,Breakfast & Brunch,Swine Southern Table & Bar,$$$,4.0,1234
131,Sushi Bars,Bali Café,$$,4.5,315
132,Bars,Wood Tavern,$,4.0,575
133,American (New),Eating House,$$,4.0,934
134,Italian,NiDo  Caffe,$$,4.5,406
135,Japanese,Gyu-Kaku Japanese BBQ,$$,4.0,710
136,Comfort Food,Ms Cheezious,$$,4.0,433
137,Gastropubs,Batch Gastropub,$$,4.0,791
138,Peruvian,La Mar by Gaston Acurio,$$$,4.0,453
139,Latin American,La Patagonia Argentina,$$,4.0,311
140,Desserts,B-Bistro & Bakery,$$,4.5,310
141,Seafood,My Ceviche,$$,4.0,340
142,Sandwiches,Super Subs,$,4.5,191
143,Italian,Vapiano Miami,$$,4.0,346
144,Spanish,Rincon Escondido Tapas,$$,4.5,232
145,Spanish,Xixón Spanish Restaurant,$$,4.0,361
146,Latin American,Latin House Grill,$$,3.5,760
147,Gastropubs,Bulla Gastrobar,$$,4.0,746
148,Lebanese,Shaddai Fine Lebanese Cuisine,$$,4.5,275
149,Salad,Delirio Fresh,$$,4.5,305
150,Mexican,Jacalito Taqueria Mexicana,$,4.0,451
151,Kosher,Zak The Baker,$$,4.0,460
152,Pizza,Mister 01- Brickell,$$,4.5,292
153,Dim Sum,Kon Chau Restaurant,$$,4.0,484
154,Latin American,Jimmy'z Kitchen Wynwood,$$,4.0,566
155,Fast Food,Diced,$,4.5,377
156,Cafes,Cream Parlor,$$,5.0,252
157,Peruvian,Pollos Y Jarras,$$,4.0,468
158,Cuban,El Mago De Las Fritas,$,4.5,242
159,Seafood,Devon Seafood & Steak,$$$,4.0,504
160,Breakfast & Brunch,Swine Southern Table & Bar,$$$,4.0,1234
161,Sushi Bars,Bali Café,$$,4.5,315
162,Bars,Wood Tavern,$,4.0,575
163,American (New),Eating House,$$,4.0,934
164,Italian,NiDo  Caffe,$$,4.5,406
165,Japanese,Gyu-Kaku Japanese BBQ,$$,4.0,710
166,Comfort Food,Ms Cheezious,$$,4.0,433
167,Gastropubs,Batch Gastropub,$$,4.0,791
168,Peruvian,La Mar by Gaston Acurio,$$$,4.0,453
169,Latin American,La Patagonia Argentina,$$,4.0,311
170,Desserts,B-Bistro & Bakery,$$,4.5,310
171,Seafood,My Ceviche,$$,4.0,340
172,Sandwiches,Super Subs,$,4.5,191
173,Italian,Vapiano Miami,$$,4.0,346
174,Spanish,Rincon Escondido Tapas,$$,4.5,232
175,Spanish,Xixón Spanish Restaurant,$$,4.0,361
176,Latin American,Latin House Grill,$$,3.5,760
177,Gastropubs,Bulla Gastrobar,$$,4.0,746
178,Lebanese,Shaddai Fine Lebanese Cuisine,$$,4.5,275
179,Salad,Delirio Fresh,$$,4.5,305
180,Mediterranean,NOA Cafe,$$,4.5,202
181,Sushi Bars,Burrito San,$$,4.5,346
182,Pizza,Harry's Pizzeria - Design District,$$,4.0,500
183,Spanish,El Carajo International Tapas & Wines,$$,4.0,378
184,Vegan,Bunnie Cakes,$,4.0,345
185,Indian,Ghee Indian Kitchen,$$,4.5,228
186,Breakfast & Brunch,Lemoni Cafe,$$,4.0,403
187,Seafood,The Fish House,$$,4.0,383
188,Cuban,Old's Havana Cuban Bar & Cocina,$$,4.5,318
189,Cinema,CinéBistro,$$,4.0,453
190,Sushi Bars,Bonding,$$,4.0,375
191,American (New),Earls Kitchen + Bar,$$,3.5,727
192,Juice Bars & Smoothies,Jar + Fork,$$,4.5,221
193,Cuban,La Carreta,$$,4.0,494
194,Steakhouses,Edge Steak & Bar,$$$,4.0,312
195,Italian,Il Gabbiano,$$$$,4.0,463
196,Dim Sum,Tropical Chinese Restaurant,$$,3.5,612
197,Vietnamese,Pho 79,$$,4.5,201
198,Mediterranean,Alloy Bistro Gourmet,$$,4.5,159
199,American (New),The Mighty,$$,4.5,187
200,Desserts,B-Bistro & Bakery,$$,4.5,310
201,Gastropubs,Bulla Gastrobar,$$,4.0,746
202,Seafood,My Ceviche,$$,4.0,340
203,Spanish,Rincon Escondido Tapas,$$,4.5,232
204,Sandwiches,Super Subs,$,4.5,191
205,Italian,Vapiano Miami,$$,4.0,346
206,Spanish,Xixón Spanish Restaurant,$$,4.0,361
207,Latin American,Latin House Grill,$$,3.5,760
208,Lebanese,Shaddai Fine Lebanese Cuisine,$$,4.5,275
209,Salad,Delirio Fresh,$$,4.5,305
210,Mediterranean,NOA Cafe,$$,4.5,202
211,Pizza,Harry's Pizzeria - Design District,$$,4.0,500
212,Sushi Bars,Burrito San,$$,4.5,346
213,Vegan,Bunnie Cakes,$,4.0,345
214,Breakfast & Brunch,Lemoni Cafe,$$,4.0,403
215,Spanish,El Carajo International Tapas & Wines,$$,4.0,378
216,Indian,Ghee Indian Kitchen,$$,4.5,228
217,Seafood,The Fish House,$$,4.0,383
218,Cuban,Old's Havana Cuban Bar & Cocina,$$,4.5,318
219,Cinema,CinéBistro,$$,4.0,453
220,Sushi Bars,Bonding,$$,4.0,375
221,Juice Bars & Smoothies,Jar + Fork,$$,4.5,221
222,American (New),Earls Kitchen + Bar,$$,3.5,727
223,Italian,Il Gabbiano,$$$$,4.0,463
224,Cuban,La Carreta,$$,4.0,494
225,Steakhouses,Edge Steak & Bar,$$$,4.0,312
226,Dim Sum,Tropical Chinese Restaurant,$$,3.5,612
227,Vietnamese,Pho 79,$$,4.5,201
228,Mediterranean,Alloy Bistro Gourmet,$$,4.5,159
229,American (New),The Mighty,$$,4.5,187
230,Cuban,El Rey De Las Fritas,$,4.0,291
231,Salad,The Daily Creative Food  - Edgewater,$$,4.0,637
232,Argentine,Fiorito,$$,4.5,257
233,Wine Bars,Barmeli 69,$$,4.5,192
234,French,Fooq's,$$,4.0,339
235,Tapas Bars,Happy Wine in the Grove,$$,4.5,209
236,Cuban,La Carreta Restaurant,$$,4.0,413
237,Seafood,The Original Crab House,$$,4.5,246
238,American (Traditional),Soyka,$$,4.0,552
239,Juice Bars & Smoothies,Raw South Juice,$$,4.5,145
240,American (New),Berries In the Grove,$$,3.5,572
241,Seafood,Café Roval,$$,4.5,335
242,Mediterranean,Clove Mediterranean Kitchen,$,4.5,210
243,Steakhouses,Texas Roadhouse,$$,4.0,345
244,Cuban,El Exquisito,$$,4.0,463
245,Mexican,El Taquito,$,4.0,233
246,Pan Asian,Lan Pan Asian Cafe,$$,4.0,348
247,American (New),"Dolores, But You Can Call Me Lolita",$$,3.5,748
248,Food Trucks,Caja Caliente,$,4.5,171
249,Greek,Meraki Greek Bistro,$$,4.5,266
250,Sushi Bars,Bonding,$$,4.0,375
251,Juice Bars & Smoothies,Jar + Fork,$$,4.5,221
252,American (New),Earls Kitchen + Bar,$$,3.5,727
253,Italian,Il Gabbiano,$$$$,4.0,463
254,Cuban,La Carreta,$$,4.0,494
255,Steakhouses,Edge Steak & Bar,$$$,4.0,312
256,Dim Sum,Tropical Chinese Restaurant,$$,3.5,612
257,Vietnamese,Pho 79,$$,4.5,201
258,Mediterranean,Alloy Bistro Gourmet,$$,4.5,159
259,American (New),The Mighty,$$,4.5,187
260,Cuban,El Rey De Las Fritas,$,4.0,291
261,Salad,The Daily Creative Food  - Edgewater,$$,4.0,637
262,Argentine,Fiorito,$$,4.5,257
263,Wine Bars,Barmeli 69,$$,4.5,192
264,French,Fooq's,$$,4.0,339
265,Tapas Bars,Happy Wine in the Grove,$$,4.5,209
266,Cuban,La Carreta Restaurant,$$,4.0,413
267,Seafood,The Original Crab House,$$,4.5,246
268,American (Traditional),Soyka,$$,4.0,552
269,Juice Bars & Smoothies,Raw South Juice,$$,4.5,145
270,American (New),Berries In the Grove,$$,3.5,572
271,Seafood,Café Roval,$$,4.5,335
272,Mediterranean,Clove Mediterranean Kitchen,$,4.5,210
273,Steakhouses,Texas Roadhouse,$$,4.0,345
274,Cuban,El Exquisito,$$,4.0,463
275,Mexican,El Taquito,$,4.0,233
276,Pan Asian,Lan Pan Asian Cafe,$$,4.0,348
277,American (New),"Dolores, But You Can Call Me Lolita",$$,3.5,748
278,Food Trucks,Caja Caliente,$,4.5,171
279,Greek,Meraki Greek Bistro,$$,4.5,266
280,Sandwiches,PDQ - Miami,$,4.5,214
281,Juice Bars & Smoothies,Ten Fruits,$$,4.5,220
282,Latin American,Salsa Fiesta,$$,4.0,432
283,Pizza,Pummarola Pastificio and Pizzeria,$,4.5,493
284,Vegan,Beehive Juice Bar,$,4.0,187
285,Spanish,Jamon Iberico Pata Negra Restaurant Tapas & Wine Bar,$$,4.5,204
286,American (New),Seasons 52,$$,4.0,666
287,Seafood,My Ceviche,$$,4.0,365
288,Asian Fusion,Nikko By Sunshine,$$,4.0,260
289,Juice Bars & Smoothies,G Spot,$,4.5,171
290,Butcher,The Butcher Shop,$$,3.5,786
291,Barbeque,Sparky's Roadside Barbecue,$$,4.0,531
292,Chicken Wings,Magic City Pizza,$,4.5,164
293,American (New),Alter Restaurant,$$$,4.0,263
294,Buffets,POC American Fusion Buffet & Sushi,$$,4.0,683
295,Mediterranean,Zuuk Mediterranean Kitchen,$$,4.5,280
296,Fruits & Veggies,Norman Brothers Produce,$$,4.5,192
297,Pizza,Pizza Project,$,4.5,172
298,Desserts,107 Coffee & Dessert,$$,4.5,223
299,Seafood,Area 31,$$$,3.5,600
300,American (Traditional),Soyka,$$,4.0,552
301,Mediterranean,Clove Mediterranean Kitchen,$,4.5,210
302,Seafood,Café Roval,$$,4.5,335
303,Steakhouses,Texas Roadhouse,$$,4.0,345
304,Cuban,El Exquisito,$$,4.0,463
305,Mexican,El Taquito,$,4.0,233
306,Pan Asian,Lan Pan Asian Cafe,$$,4.0,348
307,American (New),"Dolores, But You Can Call Me Lolita",$$,3.5,748
308,Greek,Meraki Greek Bistro,$$,4.5,266
309,Sandwiches,PDQ - Miami,$,4.5,214
310,Food Trucks,Caja Caliente,$,4.5,171
311,Juice Bars & Smoothies,Ten Fruits,$$,4.5,220
312,Vegan,Beehive Juice Bar,$,4.0,187
313,Spanish,Jamon Iberico Pata Negra Restaurant Tapas & Wine Bar,$$,4.5,204
314,Seafood,My Ceviche,$$,4.0,365
315,Juice Bars & Smoothies,G Spot,$,4.5,171
316,Asian Fusion,Nikko By Sunshine,$$,4.0,260
317,Latin American,Salsa Fiesta,$$,4.0,432
318,Barbeque,Sparky's Roadside Barbecue,$$,4.0,531
319,Butcher,The Butcher Shop,$$,3.5,786
320,Chicken Wings,Magic City Pizza,$,4.5,164
321,Pizza,Pummarola Pastificio and Pizzeria,$,4.5,493
322,American (New),Seasons 52,$$,4.0,666
323,American (New),Alter Restaurant,$$$,4.0,263
324,Mediterranean,Zuuk Mediterranean Kitchen,$$,4.5,280
325,Fruits & Veggies,Norman Brothers Produce,$$,4.5,192
326,Desserts,107 Coffee & Dessert,$$,4.5,223
327,Wine Bars,Lekoke Wines & Bites,$$,4.5,105
328,Seafood,Area 31,$$$,3.5,600
329,Pizza,Pizza Project,$,4.5,172
330,Buffets,POC American Fusion Buffet & Sushi,$$,4.0,683
331,Gastropubs,Biscayne Bay Brewing Company,$$,4.5,178
332,Latin American,Madrono Restaurant,$$,4.5,213
333,Seafood,Bravo! Peruvian Cuisine,$$,4.5,149
334,French,Café Bastille,$$,4.0,400
335,Peruvian,Ceviche Town,$$,4.5,173
336,American (New),Glass & Vine,$$,4.0,359
337,Sandwiches,La Sandwicherie Brickell,$,4.0,407
338,Breakfast & Brunch,Threefold Cafe,$$,4.0,643
339,Cuban,Cafe Versailles,$,4.0,273
340,Bagels,Roasters' n Toasters,$$,4.0,340
341,Pizza,Ironside Kitchen,$$,4.0,297
342,Japanese,Sushi Cafe & Shilla Korean BBQ,$$,4.0,387
343,Tacos,La Gringa Taco Shop,$,4.5,134
344,Asian Fusion,Sakaya Kitchen,$$,3.5,636
345,Sushi Bars,Doraku Sushi,$$,3.5,426
346,Thai,Bangkok City Thai & Seafood Restaurant,$$,4.0,228
347,Asian Fusion,Komodo,$$$,3.5,531
348,Venezuelan,EDUKOS,$$,5.0,80
349,Food Delivery Services,Smart Bites Cafe,$$,4.5,135
350,Butcher,The Butcher Shop,$$,3.5,786
351,Barbeque,Sparky's Roadside Barbecue,$$,4.0,531
352,Chicken Wings,Magic City Pizza,$,4.5,164
353,American (New),Alter Restaurant,$$$,4.0,263
354,Buffets,POC American Fusion Buffet & Sushi,$$,4.0,683
355,Mediterranean,Zuuk Mediterranean Kitchen,$$,4.5,280
356,Fruits & Veggies,Norman Brothers Produce,$$,4.5,192
357,Pizza,Pizza Project,$,4.5,172
358,Desserts,107 Coffee & Dessert,$$,4.5,223
359,Seafood,Area 31,$$$,3.5,600
360,Wine Bars,Lekoke Wines & Bites,$$,4.5,105
361,Breakfast & Brunch,Threefold Cafe,$$,4.0,643
362,Gastropubs,Biscayne Bay Brewing Company,$$,4.5,178
363,Latin American,Madrono Restaurant,$$,4.5,213
364,Seafood,Bravo! Peruvian Cuisine,$$,4.5,149
365,French,Café Bastille,$$,4.0,400
366,Peruvian,Ceviche Town,$$,4.5,173
367,Pizza,Ironside Kitchen,$$,4.0,297
368,American (New),Glass & Vine,$$,4.0,359
369,Sandwiches,La Sandwicherie Brickell,$,4.0,407
370,Cuban,Cafe Versailles,$,4.0,273
371,Bagels,Roasters' n Toasters,$$,4.0,340
372,Asian Fusion,Sakaya Kitchen,$$,3.5,636
373,Japanese,Sushi Cafe & Shilla Korean BBQ,$$,4.0,387
374,Tacos,La Gringa Taco Shop,$,4.5,134
375,Sushi Bars,Doraku Sushi,$$,3.5,426
376,Thai,Bangkok City Thai & Seafood Restaurant,$$,4.0,228
377,Japanese,Matsuri,$$,4.0,470
378,Asian Fusion,Komodo,$$$,3.5,531
379,Venezuelan,EDUKOS,$$,5.0,80
380,Food Delivery Services,Smart Bites Cafe,$$,4.5,135
381,Chinese,Chinese Guy Chi-town Restaurant,$$,4.0,193
382,Irish,Fado Irish Pub & Restaurant,$$,4.0,408
383,Soul Food,World Famous House of Mac,$$,4.0,242
384,Italian,Soya E Pomodoro,$$,4.0,267
385,American (New),Pinch Kitchen,$$,4.5,255
386,Cuban,El Cristo Restaurant & Catering,$$,4.0,335
387,Juice Bars & Smoothies,eCafe,$,5.0,69
388,Pizza,Esevagonte,$$,4.5,71
389,Pizza,Amor di Pasta,$$,4.5,135
390,Sushi Bars,SuViche - Brickell,$$,4.0,351
391,Brazilian,Steak Brasil Churrascaria,$$,4.0,279
392,Vegan,GLAM Vegan,$$,4.5,163
393,Fast Food,La Moon Restaurant,$$,3.5,581
394,Latin American,Off The Grille Kendall,$$,4.0,306
395,Indian,Ashoka Indian Cuisine,$$,4.5,141
396,Mexican,A-Mari-Mix Fresh Mex Fusion,$,4.5,156
397,Burgers,Burger & Beer Joint,$$,3.5,678
398,Mediterranean,Mina's Mediterraneo,$$,4.0,285
399,Thai,Asian Thai Kitchen 2,$$,4.5,166
400,Bagels,Roasters' n Toasters,$$,4.0,340
401,Pizza,Ironside Kitchen,$$,4.0,297
402,Japanese,Sushi Cafe & Shilla Korean BBQ,$$,4.0,387
403,Tacos,La Gringa Taco Shop,$,4.5,134
404,Asian Fusion,Sakaya Kitchen,$$,3.5,636
405,Sushi Bars,Doraku Sushi,$$,3.5,426
406,Thai,Bangkok City Thai & Seafood Restaurant,$$,4.0,228
407,Asian Fusion,Komodo,$$$,3.5,531
408,Venezuelan,EDUKOS,$$,5.0,80
409,Food Delivery Services,Smart Bites Cafe,$$,4.5,135
410,Chinese,Chinese Guy Chi-town Restaurant,$$,4.0,193
411,Irish,Fado Irish Pub & Restaurant,$$,4.0,408
412,Italian,Soya E Pomodoro,$$,4.0,267
413,Japanese,Matsuri,$$,4.0,470
414,Cuban,El Cristo Restaurant & Catering,$$,4.0,335
415,Juice Bars & Smoothies,eCafe,$,5.0,69
416,Soul Food,World Famous House of Mac,$$,4.0,242
417,Pizza,Esevagonte,$$,4.5,71
418,Pizza,Amor di Pasta,$$,4.5,135
419,American (New),Pinch Kitchen,$$,4.5,255
420,Sushi Bars,SuViche - Brickell,$$,4.0,351
421,Brazilian,Steak Brasil Churrascaria,$$,4.0,279
422,Fast Food,La Moon Restaurant,$$,3.5,581
423,Vegan,GLAM Vegan,$$,4.5,163
424,Indian,Ashoka Indian Cuisine,$$,4.5,141
425,Latin American,Off The Grille Kendall,$$,4.0,306
426,Mexican,A-Mari-Mix Fresh Mex Fusion,$,4.5,156
427,Burgers,Burger & Beer Joint,$$,3.5,678
428,Thai,Asian Thai Kitchen 2,$$,4.5,166
429,Cuban,La Rosa Restaurant,$$,4.0,245
430,Sandwiches,MIAM,$$,4.0,209
431,Mediterranean,Mina's Mediterraneo,$$,4.0,285
432,Seafood,Garcia's Seafood Grille & Fish Market,$$,3.5,706
433,Cafes,ALL DAY,$$,4.0,232
434,Peruvian,Dr Limon Ceviche Bar,$$,4.5,182
435,Peruvian,Sabor a Perú,$$,3.5,464
436,Greek,Maria's Greek Restaurant,$$,4.0,211
437,Steakhouses,Graziano's in Bird Rd,$$$,4.0,243
438,Delis,Buena Vista Deli,$$,4.0,348
439,Lebanese,Al-Amir,$,5.0,84
440,Portuguese,Jardim de Portugal,$$,4.5,133
441,Argentine,PM Fish & Steak House,$$$,4.0,327
442,Sandwiches,Plate,$,4.5,158
443,Pizza,Pizzarium - A Slice of Rome,$,4.0,206
444,Sports Bars,Sports Grill - Sunset,$$,4.0,252
445,Middle Eastern,Original Daily Bread Marketplace,$,4.0,254
446,Pizza,Ponte Vecchio Ristorante E Pizzeria,$$,4.5,100
447,American (New),American Social,$$,3.5,568
448,Bagels,Toasted Bagelry & Deli,$,3.5,392
449,Tapas/Small Plates,Uvaggio Wine Bar,$$,4.5,202
450,Sushi Bars,SuViche - Brickell,$$,4.0,351
451,Brazilian,Steak Brasil Churrascaria,$$,4.0,279
452,Vegan,GLAM Vegan,$$,4.5,163
453,Fast Food,La Moon Restaurant,$$,3.5,581
454,Latin American,Off The Grille Kendall,$$,4.0,306
455,Indian,Ashoka Indian Cuisine,$$,4.5,141
456,Mexican,A-Mari-Mix Fresh Mex Fusion,$,4.5,156
457,Burgers,Burger & Beer Joint,$$,3.5,678
458,Mediterranean,Mina's Mediterraneo,$$,4.0,285
459,Thai,Asian Thai Kitchen 2,$$,4.5,166
460,Cuban,La Rosa Restaurant,$$,4.0,245
461,Sandwiches,MIAM,$$,4.0,209
462,Seafood,Garcia's Seafood Grille & Fish Market,$$,3.5,706
463,Peruvian,Sabor a Perú,$$,3.5,464
464,Cafes,ALL DAY,$$,4.0,232
465,Delis,Buena Vista Deli,$$,4.0,348
466,Peruvian,Dr Limon Ceviche Bar,$$,4.5,182
467,Greek,Maria's Greek Restaurant,$$,4.0,211
468,Steakhouses,Graziano's in Bird Rd,$$$,4.0,243
469,Tapas/Small Plates,Uvaggio Wine Bar,$$,4.5,202
470,Ramen,Ichimi,$$,4.0,490
471,Lebanese,Al-Amir,$,5.0,84
472,Portuguese,Jardim de Portugal,$$,4.5,133
473,Argentine,PM Fish & Steak House,$$$,4.0,327
474,Pizza,Pizzarium - A Slice of Rome,$,4.0,206
475,Sandwiches,Plate,$,4.5,158
476,Sports Bars,Sports Grill - Sunset,$$,4.0,252
477,Middle Eastern,Original Daily Bread Marketplace,$,4.0,254
478,American (New),The Local Craft Food & Drink,$$,4.0,540
479,Pizza,Ponte Vecchio Ristorante E Pizzeria,$$,4.5,100
480,American (New),American Social,$$,3.5,568
481,Bagels,Toasted Bagelry & Deli,$,3.5,392
482,Sandwiches,Hungry Bear Sub Shop,$,4.0,221
483,Ice Cream & Frozen Yogurt,Latteria Italiana,$,4.5,127
484,Caribbean,Jamaica Kitchen,$$,4.0,181
485,American (New),Hillstone Restaurant,$$$,4.0,625
486,Cafes,Café Croissant,$,4.5,89
487,Latin American,Yambo Restaurant,$,4.0,276
488,Sushi Bars,Kona Grill,$$,4.0,228
489,Thai,Siam Palace,$$,4.0,266
490,Gastropubs,Tap 42,$$,4.0,483
491,Italian,Salumeria 104,$$,4.0,274
492,Portuguese,Old Lisbon Restaurants - Coral Way,$$,4.0,195
493,Steakhouses,Fleming's Prime Steakhouse,$$$,4.0,380
494,Thai,Siam Bistro,$$,4.0,190
495,Sushi Bars,Sushi 2 Mee,$$,4.0,258
496,Italian,Toscana Divino,$$$,4.0,245
497,Steakhouses,Texas de Brazil,$$$,4.0,283
498,Sandwiches,Chandlers Place,$,4.5,197
499,Comfort Food,Organic Bites,$$,4.0,363
500,Ramen,Ichimi,$$,4.0,490
501,Lebanese,Al-Amir,$,5.0,84
502,Portuguese,Jardim de Portugal,$$,4.5,133
503,Argentine,PM Fish & Steak House,$$$,4.0,327
504,Pizza,Pizzarium - A Slice of Rome,$,4.0,206
